og_idx,Subject,CommitId,Author,Date,link,affected_class,#affected_files,Log message,Refactoring parent category 2,Refactoring parent category 1,Refactoring category,Representative refactoring category,Abbreviation,Is ML-specific refactoring category?,ML technical debt category,Is new technical debt category?,In ML-related code?
146,elki-project/elki,b3a1eb3c2,Elke Achtert,2006-09-06 08:15:00 +0000,https://github.com/elki-project/elki/commit/b3a1eb3c2,src/de/lmu/ifi/dbs/data/ParameterizationFunction.java,1,refactoring Hough algorithm,,ML-specific,Replace primitive array with matrix,Replace primitive array with matrix,AMT,TRUE,Plain-old-data type,FALSE,TRUE
161,elki-project/elki,e54bcc232,Erich Schubert,2014-06-30 17:06:05 +0000,https://github.com/elki-project/elki/commit/e54bcc232,src/experimentalcode/shared/evaluation/classifier/ConfusionMatrixBasedEvaluation.java,1,Cleanup and refactor classification code.,,Generic,Clean up,Clean up,CLN,FALSE,,,TRUE
162,elki-project/elki,eb1320292,Erich Schubert,2009-01-09 13:44:35 +0000,https://github.com/elki-project/elki/commit/eb1320292,src/de/lmu/ifi/dbs/elki/distance/similarityfunction/SharedNearestNeighborSimilarityFunction.java,1,"Code refactoring, to allow code reuse in other SNN functions",Generic,Reorganization,Make more reusable,Make more reusable,RUS,FALSE,Model code reusability,TRUE,TRUE
202,knime/knime-core,1c71ec591a,Adrian Nembach,2017-10-24 11:35:22 +0200,https://github.com/knime/knime-core/commit/1c71ec591a,org.knime.base.treeensembles2/src/org/knime/base/node/mine/treeensemble2/node/gradientboosting/predictor/pmml/GradientBoostingPMMLPredictorNodeModel.java,1,AP-7917: Refactor GBT PMML Predictor node to accept classification model,Generic,Generalization,Make more extensible,Make more extensible,EXT,FALSE,Model code modifiability,TRUE,TRUE
206,knime/knime-core,ab9c77b0f8,Adrian Nembach,2018-03-21 10:19:35 +0100,https://github.com/knime/knime-core/commit/ab9c77b0f8,org.knime.base/src/org/knime/base/node/mine/regression/predict3/LogRegPredictor.java,1,AP-8977: Refactor LogRegPredictor to avoid second pass over row,,Generic,Improve performance,Improve performance,PRF,FALSE,,,TRUE
209,universal-automata/liblevenshtein-java,a5cc961,Dylon Edwards,2014-04-05 22:26:55 -0700,https://github.com/universal-automata/liblevenshtein-java/commit/a5cc961,src/main/java/com/github/dylon/liblevenshtein/collection/dawg/SortedDawg.java,1,"Refactors the SortedDawg to accept terms post-construction, if they are lexicographically, monotonically non-decreasing and none are lexicographically less than the previously-added term",,Generic,Dead code elimination,Dead code elimination,DED,FALSE,,,FALSE
217,apache/mahout,4432e3194,Jeff Eastman,2011-12-22 20:43:26 +0000,https://github.com/apache/mahout/commit/4432e3194,core/src/main/java/org/apache/mahout/clustering/dirichlet/models/GaussianCluster.java,1,MAHOUT-846: Minor refactoring to eliminate unnecessary vector.times(SQRT2PI),ML-specific,Improve performance,Remove unnecessary matrix operation,Remove unnecessary matrix operation,RMA,TRUE,Unnecessary model code,TRUE,TRUE
234,mimno/Mallet,1514ca8,clairew,2017-10-02 11:41:46 -0400,https://github.com/mimno/Mallet/commit/1514ca8,src/cc/mallet/types/tests/TestAlphabet.java,1,Initial commit for dependency refactor,,Generic,Reorganization,Reorganization,ORG,FALSE,,,FALSE
235,mimno/Mallet,5a8c757,Andrew McCallum,2008-03-22 07:58:04 -0400,https://github.com/mimno/Mallet/commit/5a8c757,src/cc/mallet/topics/LDAHyper.java,1,Refactor LDAHyper with Topication class.,,ML-specific,Replace primitives with rich prediction,Replace primitives with rich prediction,PRD,TRUE,Plain-old-data type,FALSE,TRUE
244,modernmt/modernmt,4095262c,Andrea Rossi,2017-03-29 14:59:26 +0200,https://github.com/modernmt/modernmt/commit/4095262c,src/core/src/main/java/eu/modernmt/cluster/kafka/KafkaDataManager.java,1,started kafka topics refactoring,Generic,Clean up,Split variable declarations and initializations,Clean up,CLN,FALSE,,,FALSE
245,modernmt/modernmt,4bd91561,Davide Caroselli,2018-06-06 14:34:15 +0200,https://github.com/modernmt/modernmt/commit/4bd91561,src/decoder-neural/src/main/java/eu/modernmt/decoder/neural/memory/lucene/query/DefaultQueryBuilder.java,1,Code refactoring,,Generic,Reorganization,Reorganization,ORG,FALSE,,,FALSE
257,modernmt/modernmt,ac14f6a0,Davide Caroselli,2017-09-12 16:39:52 +0200,https://github.com/modernmt/modernmt/commit/ac14f6a0,src/decoder-neural/src/main/python/nmmt/NMTEngineTrainer.py,1,Training optimizer options refactoring,,Generic,Reorganization,Reorganization,ORG,FALSE,Configuration,FALSE,TRUE
