,Subject,CommitId,Author,Date,link,affected_class,#affected_files,Log message,Refactoring parent category 2,Refactoring parent category 1,Refactoring category,Representative refactoring category,Abbreviation,Is ML-specific refactoring category?,ML technical debt category,Is new technical debt category?,In ML-related code?,cls_before,cls_after,first_commit,last_commit,RF_date,all_before,all_after,change_ratio_before,change_ratoi_after,2nd_ratio_before,2nd_ratio_after,bugs_before,bugs_after,bugs_ratio_before,bugs_ratio_after
10,stanfordnlp/CoreNLP,a1f844ded,John Bauer,2019-09-09 20:21:30 -0700,https://github.com/stanfordnlp/CoreNLP/commit/a1f844ded,src/edu/stanford/nlp/trees/tregex/gui/ScrollableTreeJPanel.java,1,"Update a comment, minor rearrangement to look like the parent class (need to refactor)",,Generic,Clean up,Clean up,CLN,False,,,,68,0,2013-06-27T21:44:08Z,2019-09-10T03:21:30Z,2019-09-10T03:21:30Z,15359,1,0.0044,0.0,0.9856,0.0,0,0,0.0,0.0
11,stanfordnlp/CoreNLP,b3b0effcd,John Bauer,2014-08-11 16:42:17 -0700,https://github.com/stanfordnlp/CoreNLP/commit/b3b0effcd,src/edu/stanford/nlp/parser/shiftreduce/ShiftReduceParser.java,1,Make the code easy to refactor...,,Generic,Clean up,Clean up,CLN,False,,,True,344,209,2014-05-19T22:29:55Z,2021-09-30T19:22:01Z,2014-08-11T23:42:17Z,5532,7166,0.0622,0.0292,1.4253,0.6685,11,4,0.032,0.0191
12,stanfordnlp/CoreNLP,cd828aee8,John Bauer,2014-06-10 18:52:46 -0700,https://github.com/stanfordnlp/CoreNLP/commit/cd828aee8,src/edu/stanford/nlp/parser/shiftreduce/ShiftReduceParser.java,1,Begin refactoring the training program,Generic,Reorganization,Make more extensible,Make more extensible,EXT,False,Configuration,False,True,183,370,2014-05-19T22:29:55Z,2021-09-30T19:22:01Z,2014-06-11T01:52:46Z,4363,8336,0.0419,0.0444,0.9614,1.0174,3,12,0.0164,0.0324
13,datacleaner/DataCleaner,34ee02495,hdrexler,2015-09-02 17:01:47 +0200,https://github.com/datacleaner/DataCleaner/commit/34ee02495,engine/core/src/main/java/org/datacleaner/metamodel/datahub/utils/JsonSchemasResponseParser.java,1,Refactored initialization of String list,,Generic,Clean up,Clean up,CLN,False,,,False,6,2,2015-08-21T10:02:25Z,2017-07-22T17:10:23Z,2015-09-02T15:01:47Z,247,2238,0.0243,0.0009,6.7072,0.2467,0,0,0.0,0.0
14,datacleaner/DataCleaner,3f403a73f,Kasper Sørensen,2015-06-16 14:56:01 +0200,https://github.com/datacleaner/DataCleaner/commit/3f403a73f,desktop/ui/src/main/java/org/datacleaner/widgets/tree/SchemaMouseListener.java,1,"Made ""create table"" functionality not apply to CSV datastores. Refactored SchemaMouseListener to avoid too long method.",Generic,Reorganization,Split methods,Reorganization,ORG,False,,,False,6,4,2015-01-12T18:20:07Z,2019-02-13T04:29:41Z,2015-06-16T12:56:01Z,944,2845,0.0064,0.0014,2.1893,0.4843,0,0,0.0,0.0
15,datacleaner/DataCleaner,525988f21,Reinier de Jong,2015-08-11 12:57:15 +0200,https://github.com/datacleaner/DataCleaner/commit/525988f21,monitor/services/src/main/java/org/datacleaner/monitor/server/controllers/DatastoreSchemaController.java,1,"Refactored the getSchema, getTable and getColumn methods into one getSchemas method which now returns the complete schema, table and column hierarchy as one json",,Generic,Reorganization,Reorganization,ORG,False,,,False,1,9,2015-08-06T11:38:50Z,2017-03-20T10:50:52Z,2015-08-11T10:57:15Z,36,2522,0.0278,0.0036,6.4596,0.8299,0,0,0.0,0.0
16,datacleaner/DataCleaner,7387baf67,tomaszguzialek,2015-05-11 11:09:15 +0200,https://github.com/datacleaner/DataCleaner/commit/7387baf67,components/writers/src/test/java/org/datacleaner/extension/output/CreateCsvFileAnalyzerTest.java,1,Refactoring the test to remove the test file even if the test fails (tearDown method).,,Generic,Clean up,Clean up,CLN,False,,,False,6,8,2015-01-28T10:02:34Z,2019-02-13T04:29:41Z,2015-05-11T09:09:15Z,665,2969,0.009,0.0027,2.1859,0.6528,0,0,0.0,0.0
17,datacleaner/DataCleaner,b907e804a,Kasper Sørensen,2015-05-04 09:17:56 +0200,https://github.com/datacleaner/DataCleaner/commit/b907e804a,desktop/ui/src/main/java/org/datacleaner/widgets/visualization/JobGraphNodeBuilder.java,1,Minor refactor to have removeUnnecesaryEdges incapsulate the for-loop,,Generic,Reorganization,Reorganization,ORG,False,,,False,6,13,2015-01-12T18:20:07Z,2019-02-13T04:29:41Z,2015-05-04T07:17:56Z,775,3014,0.0077,0.0043,1.4667,0.8171,1,0,0.1667,0.0
18,deeplearning4j/deeplearning4j,3c0c59ab88,shugeo,2019-10-09 22:09:33 +0300,https://github.com/deeplearning4j/deeplearning4j/commit/3c0c59ab88,libnd4j/include/ops/declarable/helpers/cpu/fake_quantization.cpp,1,Refactored fake_quant_with_min_max_vars op.,,Generic,Duplicate code elimination,Duplicate code elimination,DUP,False,Duplicate model code,True,True,4,12,2019-06-06T12:21:15Z,2021-11-04T13:22:35Z,2019-10-09T19:09:33Z,373,1836,0.0107,0.0065,1.3935,0.8493,1,2,0.25,0.1667
19,deeplearning4j/deeplearning4j,aa4af2c36d,Robert Altena,2019-07-29 21:20:16 +0900,https://github.com/deeplearning4j/deeplearning4j/commit/aa4af2c36d,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/factory/Nd4j.java,1,refactor duplicate code from pad methods. (#86),,Generic,Duplicate code elimination,Duplicate code elimination,DUP,False,Duplicate model code,True,True,13,86,2019-06-06T12:21:15Z,2023-04-21T07:51:12Z,2019-08-05T01:24:20Z,86,2595,0.1512,0.0331,4.0527,0.8885,1,0,0.0769,0.0
